item, itemLabel
http://www.wikidata.org/entity/Q150301, Angelica Pickles
http://www.wikidata.org/entity/Q5480, Bart Simpson
http://www.wikidata.org/entity/Q5846, Lisa Simpson
http://www.wikidata.org/entity/Q47255, Stan Marsh
http://www.wikidata.org/entity/Q47788, Wendy Testaburger
http://www.wikidata.org/entity/Q47865, Tolkien Black
http://www.wikidata.org/entity/Q47345, Kyle Broflovski
http://www.wikidata.org/entity/Q47958, Butters Stotch
http://www.wikidata.org/entity/Q2706542, Julian Sark
http://www.wikidata.org/entity/Q3699094, Cucciolo
http://www.wikidata.org/entity/Q4724517, Ali
http://www.wikidata.org/entity/Q5116253, Perry the Platypus
http://www.wikidata.org/entity/Q89133794, Kara Danvers
http://www.wikidata.org/entity/Q6254483, John Reese
http://www.wikidata.org/entity/Q7434392, Scooter
http://www.wikidata.org/entity/Q7701442, Tequila Yuen
http://www.wikidata.org/entity/Q2915850, Thumper
http://www.wikidata.org/entity/Q6163143, Jason Morgan
http://www.wikidata.org/entity/Q3785909, Hit-Girl
http://www.wikidata.org/entity/Q2927484, Bucky Bug
http://www.wikidata.org/entity/Q3723344, Elite Banana
http://www.wikidata.org/entity/Q3819266, Mister Peabody
http://www.wikidata.org/entity/Q4994317, Egon Olsen
http://www.wikidata.org/entity/Q5002141, Buster Bunny
http://www.wikidata.org/entity/Q4991619, Bean Bunny
http://www.wikidata.org/entity/Q5876026, Hodge-Podge
http://www.wikidata.org/entity/Q5262491, Derek the Sheep
http://www.wikidata.org/entity/Q12223976, Hiro Nakamura
http://www.wikidata.org/entity/Q3041849, Lumen Pierce
http://www.wikidata.org/entity/Q24909425, Allie Novak
http://www.wikidata.org/entity/Q16203936, Quick Draw McGraw
http://www.wikidata.org/entity/Q56244633, Harley Quinn
http://www.wikidata.org/entity/Q57394134, Wonder Woman
http://www.wikidata.org/entity/Q21233637, Bea Smith
http://www.wikidata.org/entity/Q60464931, Peter Parker
http://www.wikidata.org/entity/Q60464979, Harry Osborn
http://www.wikidata.org/entity/Q3487121, Snake Plissken
http://www.wikidata.org/entity/Q4933147, Bob Lee Swagger
http://www.wikidata.org/entity/Q19867836, Felicity Smoak
http://www.wikidata.org/entity/Q20709647, "Henry ""Hank"" Voight"
http://www.wikidata.org/entity/Q64417139, John Wick
http://www.wikidata.org/entity/Q98454793, Peter Parker
http://www.wikidata.org/entity/Q89125983, Iris West-Allen
http://www.wikidata.org/entity/Q24908092, Kaz Proctor
http://www.wikidata.org/entity/Q110483281, Jefferson Pierce
http://www.wikidata.org/entity/Q53865444, Alex Danvers
http://www.wikidata.org/entity/Q91022741, Kate Kane
http://www.wikidata.org/entity/Q507241, Riot
http://www.wikidata.org/entity/Q1621261, Venom
http://www.wikidata.org/entity/Q2265878, Roger Rabbit
http://www.wikidata.org/entity/Q2558762, Kayako Saeki
http://www.wikidata.org/entity/Q3169222, Samuel Loomis
http://www.wikidata.org/entity/Q3761856, Gyas
http://www.wikidata.org/entity/Q3109952, Executioner
http://www.wikidata.org/entity/Q4120008, Mike Teavee
http://www.wikidata.org/entity/Q3180600, Johann Kraus
http://www.wikidata.org/entity/Q2320164, Victor Frankenstein
http://www.wikidata.org/entity/Q2602677, Nate Grey
http://www.wikidata.org/entity/Q2624998, Amy Madison
http://www.wikidata.org/entity/Q2760369, Will Graham
http://www.wikidata.org/entity/Q2929179, Byron Gordon
http://www.wikidata.org/entity/Q2987987, Isidoro Cañones
http://www.wikidata.org/entity/Q3066760, Farad'n Corrino
http://www.wikidata.org/entity/Q3078152, Iovan Iorgovan
http://www.wikidata.org/entity/Q3094572, Galen Tyrol
http://www.wikidata.org/entity/Q3352056, Omni-Man
http://www.wikidata.org/entity/Q3657299, Na'Toth
http://www.wikidata.org/entity/Q3714848, Dr. Thorndyke
http://www.wikidata.org/entity/Q3817023, Kristen Parker
http://www.wikidata.org/entity/Q3866197, Gill-man
http://www.wikidata.org/entity/Q819585, Jaina Proudmoore
http://www.wikidata.org/entity/Q949917, Marvin the Martian
http://www.wikidata.org/entity/Q2435510, Jamie Lloyd
http://www.wikidata.org/entity/Q3076943, Tiffany Valentine
http://www.wikidata.org/entity/Q3624677, Arya Stark
http://www.wikidata.org/entity/Q3701747, Danny Torrance
http://www.wikidata.org/entity/Q1605026, Milia Fallyna Jenius
http://www.wikidata.org/entity/Q2552079, Tara Maclay
http://www.wikidata.org/entity/Q3563913, Visser Three
http://www.wikidata.org/entity/Q4120021, Charlie Bucket
http://www.wikidata.org/entity/Q286359, Sarah Kerrigan
http://www.wikidata.org/entity/Q3643599, Bran Stark
http://www.wikidata.org/entity/Q4357196, Violet Beauregarde
http://www.wikidata.org/entity/Q611963, Zeratul
http://www.wikidata.org/entity/Q2517086, Holly Short
http://www.wikidata.org/entity/Q717594, James Potter
http://www.wikidata.org/entity/Q841669, Cedric Diggory
http://www.wikidata.org/entity/Q1426891, Michael Myers
http://www.wikidata.org/entity/Q1114418, Gilderoy Lockhart
http://www.wikidata.org/entity/Q1250338, Narcissa Malfoy
http://www.wikidata.org/entity/Q1254860, Pomona Sprout
